token,tsne_2_component_1,tsne_2_component_2,word_count
comes,44.67971,-21.756485,706
interview,58.803135,12.442171,703
retweet,38.49495,49.98297,703
lead,71.89748,32.772312,702
soleimani,51.710484,32.26432,700
bernie,73.486,29.08746,697
barbmcquade,58.903164,-7.706671,696
senategop,23.081663,54.208572,692
anti,63.432247,24.416695,692
tr,6.090396,57.533955,692
hasn,5.5774646,48.43493,691
serious,15.828535,58.12889,691
resolution,7.0285225,60.872505,689
behind,47.39747,-0.20191707,688
attack,59.55224,32.852135,686
gave,9.74236,63.737514,685
course,11.568766,34.90252,685
scam,41.2534,50.65334,685
nixon,54.10377,49.288612,683
statement,68.17278,8.990905,682
approval,76.76573,21.241179,675
despite,41.38066,50.393826,675
tv,65.17383,-0.77815956,674
trade,53.7111,39.726185,668
telling,8.31851,47.773636,667
impe,3.430169,58.022526,666
demand,-0.8346542,54.037476,663
turn,19.342827,44.828644,663
block,1.0078238,55.32832,662
abused,18.226614,64.436455,662
ahead,67.28157,14.135546,662
response,56.63844,39.77698,659
administration,56.094536,26.20493,659
officials,61.481655,16.989233,659
repswalwell,2.6991467,24.340101,653
name,19.990286,47.281956,653
understand,8.810372,49.33447,652
lt,64.19941,23.34055,652
line,59.043118,42.582565,650
malmet,58.05614,-7.0616336,649
idea,42.329346,-16.605497,648
between,56.509586,22.196177,648
pence,63.677803,20.423193,647
presidency,17.483208,48.884686,647
investigate,57.74368,23.896198,646
chairman,71.24256,33.349655,644
sending,4.5109615,60.110233,643
economy,52.108803,38.357536,643
debate,31.298895,58.031246,642
rally,57.068386,6.0106707,642
paul,52.360455,56.350018,640
went,73.18571,14.722746,639
literally,67.63043,-4.2321057,638
perfect,59.12351,14.739349,637
set,-14.065011,50.60071,637
decision,29.942268,66.56286,635
bribery,21.599693,65.0231,635
mitt,70.88697,27.209707,634
floor,60.213696,2.2410464,632
learned,29.385298,66.92612,632
jim_jordan,38.673412,54.82392,631
murkowski,72.55401,26.496656,631
spent,55.928345,37.142597,629
fight,49.593567,44.620514,628
fired,62.811478,22.52748,627
resign,8.142632,57.141186,626
thebradfordfile,40.358395,56.053207,625
union,24.61782,67.825005,625
old,64.23546,26.3898,624
order,16.521795,48.097313,622
open,2.2698674,34.482494,622
least,40.60467,-15.936545,621
personal,29.93866,56.342793,620
release,0.799379,55.86723,620
due,33.42051,56.18294,618
iowa,69.0971,27.748762,618
word,42.33269,-12.460624,617
latest,59.17792,8.762104,617
little,31.86985,43.0681,616
biggest,50.04082,41.425976,615
jury,52.206047,-6.0305862,613
trials,-1.3917451,46.70457,613
around,50.64308,7.0525017,613
im,22.427114,-25.465828,612
china,53.72628,39.70269,606
tells,45.28933,57.441048,604
urgent,31.667885,61.402763,603
total,41.79983,49.703297,603
answer,5.465072,53.817524,603
afraid,5.7676735,44.206192,601
st,34.203896,60.419125,600
admits,53.70293,21.760363,598
doj,60.233906,26.083471,598
likely,0.6356391,58.84102,598
ready,-5.362861,50.150173,598
defend,13.843466,56.89706,597
shouldn,-5.0472136,52.358967,597
palmerreport,57.1228,-5.7986755,596
four,65.43985,4.8098965,593
judicialwatch,44.879284,51.446873,592
asking,56.456467,28.382442,591
impeac,33.85898,53.598064,591
repleezeldin,41.063633,55.5287,591
happen,6.3296013,54.339024,590
politics,13.072261,45.518387,588
marshablackburn,39.381115,53.04011,587
favor,74.094475,21.44986,587
alandersh,36.803207,62.80171,587
dangerous,14.0324135,62.762806,585
break,46.70963,11.228409,585
lesson,29.441324,66.88531,585
kind,15.018494,44.088108,582
pens,36.857723,48.279675,581
strike,51.73278,32.343826,581
daily,36.837734,37.653347,581
representatives,62.4143,43.91608,577
senatorcollins,29.882137,38.376392,577
justinamash,57.55558,-9.502727,576
almost,-12.687116,51.323395,575
shit,31.584785,42.498318,575
sotu,24.511793,67.86354,573
mollyjongfast,57.100536,-8.336392,572
waltshaub,59.077385,-6.5964375,571
stevescalise,39.07567,55.012505,570
based,27.711025,54.996597,568
claims,53.77393,21.644472,565
lose,12.885108,54.43807,565
hillary,58.512688,27.902132,564
mkraju,60.56234,-3.862032,563
