token,umap_2_component_1,umap_2_component_2,word_count
acquitted,-2.0752826,11.35267,1091
things,-1.8947617,11.454348,1091
gets,-1.2457597,11.804937,1086
lying,-1.5934385,11.776527,1084
three,-0.26416004,11.847003,1083
speech,-0.776821,10.234677,1077
agree,-2.1933882,11.840747,1076
inquiry,-0.5615438,11.909055,1075
security,-0.6514466,12.0075445,1067
entire,-2.097786,12.122825,1062
full,-1.4884733,12.032255,1056
wasn,-1.8495419,11.557035,1050
himself,-1.440291,11.079326,1045
nation,-0.9364002,10.868058,1038
life,-1.7113256,11.586761,1034
bad,-2.2369266,11.858598,1034
oh,-1.8749226,12.185743,1031
money,-0.74527264,11.468452,1030
long,-2.2214046,11.594821,1024
big,-1.2066637,12.354519,1022
once,-2.1273198,11.499023,1022
best,-1.6995045,11.982089,1022
repmattgaetz,-1.7675253,13.536738,1021
giuliani,-0.25017422,11.797985,1018
matter,-2.3409283,11.047852,1017
means,-1.5413702,12.850736,1016
used,-0.9328209,11.043073,1013
aid,-0.37848383,11.569139,1009
cover,-0.7795749,9.721854,1007
thought,-2.106369,11.304706,1006
lindsey,-1.1346942,12.557925,1001
makes,-1.9667947,11.706559,999
washington,-0.29557377,13.190379,993
mueller,-0.4076629,11.7807,991
crazy,-2.3804116,12.127476,988
joncoopertweets,-3.3751755,13.186705,981
hours,-0.2415593,11.953889,978
talking,-1.8888122,10.997811,977
donaldjtrumpjr,-1.9638726,13.570863,977
ken,-0.69931823,12.410584,975
rudygiuliani,-1.6648246,13.318599,965
pro,-1.6441822,12.701258,962
having,-2.1682024,10.741805,960
reminder,-1.8898928,11.811292,957
coup,-1.061907,12.415378,957
maddow,-2.5228992,13.375879,956
press,-0.67543143,12.522354,953
coming,-1.0235794,10.312005,950
world,-0.82098645,11.18381,948
act,-0.895077,11.214409,947
arguments,-0.67487085,12.52791,943
high,-0.6422887,11.176066,942
lost,-1.9887867,11.398329,938
attorney,-0.39797625,12.262113,936
pres,-1.5484158,12.751287,936
lied,-0.314726,11.456942,934
constitutional,-1.1026301,10.993993,931
seanhannity,-1.6690879,13.468645,930
someone,-1.7868078,11.9469385,927
hunter,-0.44972077,12.053578,924
might,-1.5216947,10.316605,924
record,-0.8373991,11.816045,922
hey,-1.9454274,12.19595,922
judge,-0.24182232,12.278919,920
ask,-1.6937785,11.25734,915
plan,-0.6187683,11.611235,914
second,-1.2418156,11.879844,911
stand,-0.8792554,9.955601,910
subpoena,-0.7953077,11.505132,909
government,-0.8043881,10.999751,908
susan,-0.5668016,13.292979,906
manager,-0.62538385,13.064309,905
amy_siskind,-3.4695365,13.168893,902
weeks,-0.26607051,11.928194,901
absolutely,-2.2882028,12.237369,900
voting,-0.70313007,13.178475,895
talk,-1.8906995,10.962497,895
face,-1.7990307,10.81879,892
dear,-2.2451773,12.24031,889
heard,-1.9857448,11.020715,889
lie,-1.5842074,11.670275,889
allow,-1.1944168,11.03489,886
single,-1.601505,11.929961,886
using,-1.217984,11.361195,885
rule,-1.0094305,11.439574,880
lot,-1.9567616,11.526125,879
live,-1.2370363,12.827695,872
counsel,-0.5078995,12.3693285,871
move,-0.931569,11.046321,870
better,-1.4571981,9.080059,868
run,-1.025492,10.883871,867
impeachable,-0.75329894,11.170659,867
phone,-0.20708947,12.494426,867
judiciary,-0.4184046,12.2092905,866
guilty,-2.253579,11.019116,866
conduct,-1.3114277,10.940128,863
yesterday,-0.57872194,12.383763,861
whitehouse,-1.7980413,13.580414,859
chuck,-1.0516694,12.878148,858
general,-0.32280406,12.28623,857
senschumer,-3.4244719,12.774508,854
duty,-1.3488697,11.056018,853
whole,-2.1758008,12.286072,851
continue,-1.4824079,10.647493,848
russian,-0.3692385,11.654687,842
important,-1.609054,12.294082,841
allowed,-1.8408058,10.362087,840
morning,-0.6194583,12.384621,840
exactly,-2.4087224,11.594563,839
democracy,-0.8378768,11.040335,838
shows,-1.1415199,13.264796,837
change,-1.6912359,10.781915,837
thinks,-1.9912976,11.39991,836
whether,-2.093063,10.833491,836
impartial,-1.1903182,11.423322,829
months,-0.23398447,11.889056,825
million,-0.65705025,11.640559,823
guy,-1.6132234,11.881318,820
mean,-2.2091043,11.279889,819
dismiss,-0.9491479,11.409057,819
use,-1.0605999,10.766243,817
hard,-2.0356982,11.368775,817
started,-1.7334323,11.672773,817
looks,-1.525996,12.161282,815
win,-1.0459586,10.947938,813
love,-2.0889843,11.88342,813
federal,-0.38200188,11.961563,813
words,-1.469297,11.5139885,812
care,-2.0748012,11.493396,808
seen,-1.9421331,11.056336,807
putin,-0.72738785,11.254189,807
key,-0.93693495,11.171236,806
such,-2.5794368,11.337416,805
letter,-0.41711858,12.279503,801
top,-0.24569596,12.27064,801
congressional,-0.9528082,12.26057,801
working,-0.8399929,11.396579,799
knew,-1.8941814,11.0312,798
less,-1.4484724,9.097438,794
else,-2.2559044,11.448578,793
including,-0.5608274,12.082635,790
repandybiggsaz,-1.812727,13.602253,790
charges,-1.0996693,12.028773,789
gopchairwoman,-1.8207892,13.584335,785
threat,-1.239085,10.977699,780
committed,-0.74060625,11.215516,777
alan,-0.76631844,12.474598,775
mmpadellan,-3.4418254,13.066165,775
members,-0.6114867,12.948506,767
military,-0.70196074,11.134835,767
taking,-1.0024292,10.291955,766
tomorrow,-0.50032294,12.632508,764
protect,-0.9289468,10.960475,758
wouldn,-1.5841162,10.204736,753
aren,-1.6117204,11.600285,749
official,-0.44908524,12.0726,745
billkristol,-3.5140693,13.121879,743
presidential,-1.1930732,11.275446,742
running,-0.6912987,13.179143,741
become,-2.101561,11.135177,741
rudy,-0.29826793,11.873548,740
